date,value,type
10:15:45 28/04/2024,18.92,Temp2
10:15:45 28/04/2024,91.0,Humid1
10:15:45 28/04/2024,44.66,Humid2
10:15:45 28/04/2024,996.02,Press1
10:15:45 28/04/2024,995.3,Press2
10:15:55 28/04/2024,18.1,Temp1
10:15:55 28/04/2024,18.92,Temp2
10:15:55 28/04/2024,91.03,Humid1
10:15:55 28/04/2024,44.89,Humid2
10:15:55 28/04/2024,996.03,Press1
10:15:55 28/04/2024,995.29,Press2
10:16:05 28/04/2024,18.11,Temp1
10:16:05 28/04/2024,18.92,Temp2
10:16:05 28/04/2024,91.04,Humid1
10:16:05 28/04/2024,44.53,Humid2
10:16:05 28/04/2024,995.99,Press1
10:16:05 28/04/2024,995.31,Press2
10:16:15 28/04/2024,18.1,Temp1
10:16:15 28/04/2024,18.92,Temp2
10:16:15 28/04/2024,91.03,Humid1
10:16:15 28/04/2024,44.77,Humid2
10:16:15 28/04/2024,996.0,Press1
10:16:15 28/04/2024,995.29,Press2
10:16:25 28/04/2024,18.09,Temp1
10:16:25 28/04/2024,18.92,Temp2
10:16:25 28/04/2024,91.03,Humid1
10:16:25 28/04/2024,44.57,Humid2
10:16:25 28/04/2024,995.91,Press1
10:16:25 28/04/2024,995.2,Press2
10:16:35 28/04/2024,18.1,Temp1
10:16:35 28/04/2024,18.92,Temp2
10:16:35 28/04/2024,91.05,Humid1
10:16:35 28/04/2024,44.84,Humid2
10:16:35 28/04/2024,996.01,Press1
10:16:35 28/04/2024,995.23,Press2
10:16:45 28/04/2024,18.09,Temp1
10:16:45 28/04/2024,18.93,Temp2
10:16:45 28/04/2024,91.03,Humid1
10:16:45 28/04/2024,44.82,Humid2
10:16:45 28/04/2024,995.97,Press1
10:16:45 28/04/2024,995.27,Press2
10:16:55 28/04/2024,18.1,Temp1
10:16:55 28/04/2024,18.92,Temp2
10:16:55 28/04/2024,91.05,Humid1
10:16:55 28/04/2024,44.93,Humid2
10:16:55 28/04/2024,996.0,Press1
10:16:55 28/04/2024,995.29,Press2
10:17:05 28/04/2024,18.1,Temp1
10:17:05 28/04/2024,18.93,Temp2
10:17:05 28/04/2024,91.06,Humid1
10:17:05 28/04/2024,44.97,Humid2
10:17:05 28/04/2024,996.0,Press1
10:17:05 28/04/2024,995.32,Press2
10:17:15 28/04/2024,18.1,Temp1
10:17:15 28/04/2024,18.93,Temp2
10:17:15 28/04/2024,91.05,Humid1
10:17:15 28/04/2024,44.6,Humid2
10:17:15 28/04/2024,995.97,Press1
10:17:15 28/04/2024,995.22,Press2
10:17:25 28/04/2024,18.09,Temp1
10:17:25 28/04/2024,18.92,Temp2
10:17:25 28/04/2024,91.05,Humid1
10:17:25 28/04/2024,44.6,Humid2
10:17:25 28/04/2024,995.94,Press1
10:17:25 28/04/2024,995.26,Press2
10:17:35 28/04/2024,18.09,Temp1
10:17:35 28/04/2024,18.91,Temp2
10:17:35 28/04/2024,91.06,Humid1
